common_name,first_observation,location,region
Chiriqui Quail-Dove,10 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Sulphur-winged Parakeet,10 Jul 2025,"Auto selected 8.87547, -82.68934",PA-CH
White-winged Tanager,10 Jul 2025,Mount Totumas--Sector Quebrada La Lecheria,PA-CH
Scaly-breasted Wren,10 Jul 2025,Mount Totumas--Sector Quebrada La Lecheria,PA-CH
Barred Becard,10 Jul 2025,Mount Totumas--Sector Quebrada La Lecheria,PA-CH
White-ruffed Manakin,10 Jul 2025,Mount Totumas--Sector Quebrada La Lecheria,PA-CH
Smoky-brown Woodpecker,10 Jul 2025,Mount Totumas--Sector Quebrada La Lecheria,PA-CH
Red-headed Barbet,10 Jul 2025,Mount Totumas--Sector Quebrada La Lecheria,PA-CH
Roadside Hawk,10 Jul 2025,Mount Totumas--Sector Quebrada La Lecheria,PA-CH
Black-cheeked Warbler,09 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Black-and-yellow Silky-flycatcher,09 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Tufted Flycatcher,09 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Scaly-throated Foliage-gleaner,09 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Silvery-fronted Tapaculo,09 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Northern Emerald-Toucanet,09 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Ruddy-breasted Seedeater,09 Jul 2025,Humedal Lagunas de Volcán--Camino de acceso,PA-CH
Fork-tailed Flycatcher,09 Jul 2025,Humedal Lagunas de Volcán--Camino de acceso,PA-CH
White-throated Flycatcher,09 Jul 2025,Humedal Lagunas de Volcán--Camino de acceso,PA-CH
Bran-colored Flycatcher,09 Jul 2025,Humedal Lagunas de Volcán--Camino de acceso,PA-CH
White-throated Thrush,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
White-breasted Wood-Wren,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Yellow-green Vireo,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Rufous-browed Peppershrike,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Piratic Flycatcher,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Streaked Flycatcher,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
White-fronted Tyrannulet,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Slaty Spinetail,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Chiriqui Foliage-gleaner,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Olivaceous Woodcreeper,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Slaty Antwren,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Plain Antvireo,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Collared Forest-Falcon,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Bicolored Hawk,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Black Hawk-Eagle,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Northern Jacana,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
White-tailed Emerald,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Violet-headed Hummingbird,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Stripe-throated Hermit,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Crested Guan,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Tropical Parula,09 Jul 2025,Humedal Lagunas de Volcán--Camino de acceso,PA-CH
Eastern Meadowlark,09 Jul 2025,Humedal Lagunas de Volcán--Camino de acceso,PA-CH
Lesser Elaenia,09 Jul 2025,Humedal Lagunas de Volcán--Camino de acceso,PA-CH
Yellow-bellied Elaenia,09 Jul 2025,Humedal Lagunas de Volcán--Camino de acceso,PA-CH
White-winged Becard,09 Jul 2025,Humedal Lagunas de Volcán--Camino de acceso,PA-CH
Orange-chinned Parakeet,09 Jul 2025,Humedal Lagunas de Volcán--Camino de acceso,PA-CH
Southern Lapwing,09 Jul 2025,Humedal Lagunas de Volcán--Camino de acceso,PA-CH
Spotted Wood-Quail,09 Jul 2025,Humedal Lagunas de Volcán--Camino de acceso,PA-CH
Mottled Owl,08 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Long-tailed Silky-flycatcher,08 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Ochraceous Wren,08 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Purple-throated Mountain-gem,08 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Torrent Tyrannulet,07 Jul 2025,"Auto selected 8.87547, -82.68934",PA-CH
Buff-throated Saltator,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Yellow-faced Grassquit,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Bananaquit,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Yellow-bellied Seedeater,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Variable Seedeater,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Blue-black Grassquit,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Green Honeycreeper,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Red-legged Honeycreeper,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Blue Dacnis,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Scarlet-thighed Dacnis,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Bay-headed Tanager,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Golden-hooded Tanager,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Palm Tanager,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Blue-gray Tanager,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Scarlet-rumped Tanager,07 Jul 2025,Paraíso Birding Paradise,PA-CH
White-lined Tanager,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Buff-rumped Warbler,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Chestnut-capped Warbler,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Melodious Blackbird,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Bronzed Cowbird,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Crested Oropendola,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Orange-billed Sparrow,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Black-striped Sparrow,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Spot-crowned Euphonia,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Thick-billed Euphonia,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Rufous-breasted Wren,07 Jul 2025,Paraíso Birding Paradise,PA-CH
White-browed Gnatcatcher,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Blue-and-white Swallow,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Lesser Greenlet,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Scrub Greenlet,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Gray-capped Flycatcher,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Social Flycatcher,07 Jul 2025,Paraíso Birding Paradise,PA-CH
